c,r,mu,sigma,a,b,I,sigma/,y1,y2,y3,Z1_star,Z2_star,Z3_star,Z2_y1,Z3_y1,Z1_y2,Z3_y2,Z1_y3,Z2_y3
0.3,1,2,0.4,1,5,2,0.2,2.2760695112457037,2.2197848927363837,2.2325950268871444,1.1101719874300195,0.08675925329886991,0.9306640625,0.10517309859459659,0.9188232421875,1.109180646800158,0.928466796875,1.109584416504823,0.09275651770686216
0.3,1,2,0.2,1,5,2,0.1,2.1952391056685667,2.1602115795362624,2.1552034050475193,1.1950609123882496,0.06152736998691566,0.953125,0.07446433972948,0.94921875,1.1945173760422008,0.950927734375,1.1943481726944043,0.06435539584900726
0.3,1,2,0.6,1,5,2,0.3,2.3373678434010015,2.275112206049113,2.277637311371404,1.0450493612907097,0.10465390770514083,0.9111328125,0.1153612669802449,0.89910888671875,1.0440261541712033,0.91033935546875,1.0441065274373504,0.11195937268319944
0.3,1,2,0.8,1,5,2,0.4,2.390199518038228,2.378293186829551,2.318078830923175,0.9901245396605876,0.11639279274283776,0.90625,0.13272816803062937,0.88433837890625,0.990093990299457,0.88671875,0.9889782211312961,0.12455723509043076
0.3,1,2,1.4,1,5,2,0.7,2.514219173283371,2.3388370842454633,2.3170453056850593,0.8578370400084256,0.11793267229706422,0.8798828125,0.16168355282316182,0.8515625,0.8524283412113989,0.876953125,0.8510002118422075,0.12490750443966292
0.3,1,2,1.2,1,5,2,0.6,2.4770928380488884,2.292552236757917,2.374281141708025,0.8980275272357272,0.1252575282086047,0.8720703125,0.15043317507581916,0.85736083984375,0.8916200043882072,0.86663818359375,0.8960524037858129,0.1304234887617186
0.3,1,2,1.0,1,5,2,0.5,2.436012436339096,2.2773284675704493,2.321533708674331,0.941751122873911,0.13687151513625972,0.890625,0.150452714187278,0.8712158203125,0.9366027031081776,0.8701171875,0.9391000128007827,0.13524627811823742
0.3,1,2,1.6,1,5,2,0.8,2.5517470438055527,2.2562704674427234,2.3030102705151423,0.820350869248774,0.1087472759851188,0.8857421875,0.1599990448044546,0.845947265625,0.8063551308407473,0.87738037109375,0.8102949423872865,0.1144090601212327
0.3,1,2,1.8,1,5,2,0.9,2.5849007066882623,2.156138251734112,2.2825331845173142,0.7851957729662925,0.09393532756787704,0.900390625,0.15443328188479927,0.84375,0.7660664376160211,0.89093017578125,0.7732734157977494,0.10848553847301295
